# suite	label(cmd/output-class/context)	00	10	01	11
links	HDtarget-before-C/WCW	00=FAIL(def=3.33pt,cus=5.0pt)	10=pass	01=FAIL(def=3.33pt,cus=5.0pt)	11=pass
links	HDtarget-before-W/CWC	00=FAIL(def=3.33pt,cus=5.0pt)	10=pass	01=FAIL(def=3.33pt,cus=5.0pt)	11=pass
links	cs/CWC	00=FAIL(def=3.33pt,cus=5.0pt)	10=FAIL(def=1.92pt,cus=0.25pt)	01=FAIL(def=3.33pt,cus=5.0pt)	11=FAIL(def=1.92pt,cus=0.25pt)
links	eqref-hyper/W/CWC	00=FAIL(def=6.66pt,cus=10.0pt)	10=FAIL(def=6.66pt,cus=10.0pt)	01=FAIL(def=3.33pt,cus=5.0pt)	11=FAIL(def=3.33pt,cus=5.0pt)
links	href/C/CCC	00=pass	10=pass	01=FAIL(def=3.33pt,cus=2.33pt)	11=FAIL(def=3.33pt,cus=2.33pt)
links	href/C/WCW	00=FAIL(def=6.66pt,cus=10.0pt)	10=FAIL(def=3.33pt,cus=5.0pt)	01=FAIL(def=3.33pt,cus=6.67pt)	11=FAIL(def=0.0pt,cus=1.67pt)
links	href/W/CWC	00=pass	10=pass	01=pass	11=pass
links	hyperref/C/CCC	00=pass	10=pass	01=FAIL(def=3.33pt,cus=2.33pt)	11=FAIL(def=3.33pt,cus=2.33pt)
links	hyperref/C/WCW	00=FAIL(def=6.66pt,cus=10.0pt)	10=FAIL(def=3.33pt,cus=5.0pt)	01=FAIL(def=3.33pt,cus=6.67pt)	11=FAIL(def=0.0pt,cus=1.67pt)
links	hyperref/W/CWC	00=pass	10=pass	01=pass	11=pass
links	meta-Carg/CWC	00=FAIL(def=3.33pt,cus=3.0pt)	10=FAIL(def=6.66pt,cus=8.0pt)	01=FAIL(def=3.33pt,cus=1.33pt)	11=FAIL(def=6.66pt,cus=6.33pt)
links	meta-W/CWC	00=FAIL(def=3.33pt,cus=5.0pt)	10=pass	01=FAIL(def=3.33pt,cus=5.0pt)	11=pass
links	nolinkurl/W/CWC	00=pass	10=pass	01=pass	11=pass
links	pageref-hyper/W/CWC	00=pass	10=pass	01=pass	11=pass
links	post-null/C/CCC	00=FAIL(def=0.0pt,cus=1.0pt)	10=FAIL(def=0.0pt,cus=1.0pt)	01=pass	11=pass
links	post-null/C/WCW	00=FAIL(def=3.33pt,cus=5.0pt)	10=FAIL(def=3.33pt,cus=5.0pt)	01=FAIL(def=0.0pt,cus=1.67pt)	11=FAIL(def=0.0pt,cus=1.67pt)
links	post-null/W/CWC	00=FAIL(def=3.33pt,cus=5.0pt)	10=FAIL(def=3.33pt,cus=5.0pt)	01=pass	11=pass
links	ref-hyper/C/CCC	00=pass	10=pass	01=FAIL(def=3.33pt,cus=2.33pt)	11=FAIL(def=3.33pt,cus=2.33pt)
links	ref-hyper/C/WCW	00=FAIL(def=6.66pt,cus=10.0pt)	10=FAIL(def=3.33pt,cus=5.0pt)	01=FAIL(def=3.33pt,cus=6.67pt)	11=FAIL(def=0.0pt,cus=1.67pt)
links	ref-hyper/W/CWC	00=pass	10=pass	01=pass	11=pass
links	url/W/CWC	00=pass	10=pass	01=pass	11=pass
verb	verb/C/CCC	00=FAIL(def=0.0pt,cus=1.0pt)	10=FAIL(def=3.33pt,cus=3.0pt)	01=FAIL(def=3.33pt,cus=1.33pt)	11=FAIL(def=6.66pt,cus=6.33pt)
verb	verb/C/WCW	00=FAIL(def=6.66pt,cus=10.0pt)	10=FAIL(def=3.33pt,cus=5.0pt)	01=FAIL(def=3.33pt,cus=6.67pt)	11=FAIL(def=0.0pt,cus=1.67pt)
verb	verb/W/CWC	00=FAIL(def=3.33pt,cus=5.0pt)	10=pass	01=FAIL(def=3.33pt,cus=5.0pt)	11=pass
biblatex	pagetracker/C/CCC	00=FAIL(def=0.0pt,cus=1.0pt)	10=FAIL(def=0.0pt,cus=1.0pt)	01=FAIL(def=0.0pt,cus=1.0pt)	11=FAIL(def=0.0pt,cus=1.0pt)
biblatex	pagetracker/C/WCW	00=FAIL(def=3.33pt,cus=5.0pt)	10=pass	01=FAIL(def=3.33pt,cus=5.0pt)	11=pass
biblatex	pagetracker/W/CWC	00=FAIL(def=3.33pt,cus=5.0pt)	10=FAIL(def=3.33pt,cus=5.0pt)	01=FAIL(def=3.33pt,cus=5.0pt)	11=FAIL(def=3.33pt,cus=5.0pt)
